DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
200109450,03/20/2020,03/20/2020,1235,01,Central,0118,997,TRAFFIC COLLISION,4024 3036 3004 3101 3401 3701 0605 3028,57,M,B,101,STREET,N  SPRING                       ST,W  ANN                          ST,"(34.0677, -118.2309)"
201908035,03/20/2020,03/20/2020,1310,19,Mission,1916,997,TRAFFIC COLLISION,3004 3036 3030 3028 3101 4019,19,M,H,101,STREET,HUBBARD,BORDEN,"(34.3022, -118.4362)"
201607291,03/20/2020,03/20/2020,0710,16,Foothill,1643,997,TRAFFIC COLLISION,3101 3011 3037 3034 3026 3038 4026,,M,W,101,STREET,SAN FERNANDO                 RD,TERRA BELLA                  ST,"(34.2601, -118.4158)"
200907677,03/21/2020,03/20/2020,2020,09,Van Nuys,0985,997,TRAFFIC COLLISION,3003 3029 3025 3037 3101 4009,23,F,X,103,ALLEY,HAZELTINE                    AV,VENTURA                      BL,"(34.1505, -118.44)"
200707620,03/20/2020,03/20/2020,0300,07,Wilshire,0753,997,TRAFFIC COLLISION,3004 3026 3029 3035 3036 3101 3401 3701 4007,27,M,B,101,STREET,FAIRFAX                      AV,PICO                         BL,"(34.0515, -118.3667)"
202107573,03/20/2020,03/20/2020,2250,21,Topanga,2148,997,TRAFFIC COLLISION,3037 3028 3101 4026 3039 3004,47,M,H,101,STREET,VANOWEN                      ST,COMANCHE                     AV,"(34.1938, -118.5723)"
201707578,03/20/2020,03/20/2020,2150,17,Devonshire,1798,997,TRAFFIC COLLISION,3004 3036 3030 3028 3101 4026,44,F,H,101,STREET,ORION                        ST,PARTHENIA                    AV,"(34.232, -118.4791)"
201507889,03/20/2020,03/20/2020,0750,15,N Hollywood,1513,997,TRAFFIC COLLISION,3008 3037 3026 3101 4015,56,M,H,101,STREET,SHERMAN                      WY,WHITSETT                     ST,"(34.2012, -118.4052)"
202007764,03/20/2020,03/20/2020,0900,20,Olympic,2033,997,TRAFFIC COLLISION,3004 3025 3035 3036 3101 3401 3701 4020,38,M,O,,,00,,"(34.0597, -118.3042)"
201408857,03/26/2020,03/20/2020,2130,14,Pacific,1424,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4014,24,F,W,,,00,,"(34.0157, -118.4307)"
201107559,03/20/2020,03/20/2020,1325,11,Northeast,1125,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030,49,M,H,,,00,,"(34.1232, -118.216)"
200707674,03/20/2020,03/20/2020,1700,07,Wilshire,0769,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4007,79,F,A,,,00,,"(34.0472, -118.3201)"
200707655,03/20/2020,03/20/2020,1500,07,Wilshire,0719,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4007,48,M,A,,,00,,"(34.0762, -118.3237)"
200707652,03/20/2020,03/20/2020,1700,07,Wilshire,0723,997,TRAFFIC COLLISION,3003 3026 3035 3036 3101 3701 3401 4007,44,M,W,,,00,,"(34.0716, -118.3614)"
200707651,03/20/2020,03/20/2020,1720,07,Wilshire,0738,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4007,48,M,W,,,00,,"(34.065, -118.3386)"
200707649,03/21/2020,03/20/2020,1730,07,Wilshire,0758,997,TRAFFIC COLLISION,3026 3004 3035 3036 3101 3401 3701 4007,41,F,H,,,00,,"(34.0485, -118.3334)"
200707642,03/20/2020,03/20/2020,1300,07,Wilshire,0742,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4007,44,F,W,,,00,,"(34.0625, -118.367)"
200707633,03/20/2020,03/20/2020,1150,07,Wilshire,0782,997,TRAFFIC COLLISION,3011 3026 3035 3037 3102 3401 3701 4007,,M,O,,,00,,"(34.0375, -118.3742)"
200707631,03/20/2020,03/20/2020,1350,07,Wilshire,0745,997,TRAFFIC COLLISION,3002 3004 3025 3034 3036 3102 3401 3701 4007,34,F,W,,,00,,"(34.0528, -118.3509)"
200707630,03/20/2020,03/20/2020,1530,07,Wilshire,0717,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4007,77,F,W,,,00,,"(34.0783, -118.3392)"
200707626,03/20/2020,03/20/2020,1130,07,Wilshire,0765,997,TRAFFIC COLLISION,3004 4007 3026 3035 3037 3101 3401 3701,21,M,H,,,00,,"(34.0478, -118.347)"
200707619,03/20/2020,03/20/2020,0840,07,Wilshire,0765,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,39,F,W,,,00,,"(34.0501, -118.3442)"
200707615,03/20/2020,03/20/2020,0705,07,Wilshire,0753,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4007,55,F,B,,,00,,"(34.0513, -118.3657)"
200707614,03/20/2020,03/20/2020,0548,07,Wilshire,0782,997,TRAFFIC COLLISION,3004 3026 3029 3034 3037 3101 3401 3701 4007,54,M,W,,,00,,"(34.0398, -118.3697)"
200707612,03/20/2020,03/20/2020,0705,07,Wilshire,0778,997,TRAFFIC COLLISION,3006 3026 3035 3037 3101 3401 3701 4007,,M,,,,00,,"(34.0422, -118.3298)"
200907663,03/20/2020,03/20/2020,1440,09,Van Nuys,0969,997,TRAFFIC COLLISION,4026 3004 3037 3030 3028 3101,40,M,B,101,STREET,COLDWATER CA,ADDISON                      ST,"(34.162, -118.4166)"
200707661,03/21/2020,03/20/2020,1720,07,Wilshire,0778,997,TRAFFIC COLLISION,3004 3028 3030 3037 3101 3401 3701 4027 3035,33,F,H,101,STREET,VENICE,CRENSHAW,"(34.0447, -118.3284)"
