DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
151321771,11/23/2015,11/23/2015,1500,13,Newton,1375,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,24,M,H,101,STREET,CENTRAL                      AV,55TH                         ST,"(33.9925, -118.2564)"
151323017,12/18/2015,12/18/2015,0755,13,Newton,1341,997,TRAFFIC COLLISION,3101 3401 3701 3004 3603 3036 3026,32,F,B,101,STREET,39TH,BROADWAY,"(34.0126, -118.278)"
160119277,07/19/2016,07/19/2016,0900,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,26,M,H,101,STREET,HILL                         ST,8TH                          ST,"(34.0445, -118.2558)"
160108430,02/26/2016,02/26/2016,1120,01,Central,0155,997,TRAFFIC COLLISION,3101 3401 3701 3034 3006 3025 3008 3603,60,M,H,101,STREET,6TH                          ST,WALL                         ST,"(34.0435, -118.2471)"
160115092,05/20/2016,05/20/2016,1030,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,,M,H,101,STREET,MAIN,PICO,"(34.0366, -118.2602)"
160108787,03/02/2016,03/02/2016,1345,01,Central,0157,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,27,M,H,101,STREET,SAN PEDRO                    ST,6TH                          ST,"(34.0423, -118.2452)"
160111211,04/02/2016,04/02/2016,1125,01,Central,0195,997,TRAFFIC COLLISION,3101 3401 3701 3006 3008 3603 3025,45,M,H,101,STREET,MAIN                         ST,14TH                         ST,"(34.0353, -118.2612)"
160117858,06/28/2016,06/16/2016,1230,01,Central,0154,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3029 3025,26,M,H,101,STREET,6TH                          ST,MAIN,"(34.0453, -118.2499)"
160104300,01/04/2016,01/04/2016,1545,01,Central,0176,997,TRAFFIC COLLISION,3101 3401 3701 3008 3030 3603,44,F,K,101,STREET,8TH                          ST,WALL                         ST,"(34.0401, -118.2504)"
160109083,03/06/2016,03/06/2016,1050,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,,M,H,101,STREET,MAPLE                        AV,11TH                         ST,"(34.0371, -118.2551)"
