,Date_Occurred,Time_Occurred,Area_ID,Area_Name,MO_Codes,Victim_Age,Victim_Sex,Victim_Descent,Address,Cross_Street,Location,Latitude,Longitude,geometry
14313,2020-11-17,1600,5,Harbor,3036 3008 3026 3101,32.0,Male,"Hispanic, Latin, Mexican",CRISTOBAL                    ST,ANAHEIM                      ST,"(33.7811, -118.2428)",33.7811,-118.2428,POINT (-118.2428 33.7811)
14314,2020-11-17,2215,19,Mission,3004 3036 3030 3028 3101 4026,29.0,Female,"Hispanic, Latin, Mexican",VAN NUYS,PARTHENIA,"(34.2268, -118.4502)",34.2268,-118.4502,POINT (-118.4502 34.2268)
14315,2020-11-17,815,4,Hollenbeck,0605 3101 3401 3701 3003 3026 3036,67.0,Male,"Hispanic, Latin, Mexican",DALY,BROADWAY,"(34.0736, -118.2156)",34.0736,-118.2156,POINT (-118.2156 34.0736)
14316,2020-11-17,910,12,77th Street,3004 3037 3026 3101,66.0,Female,Black,CRENSHAW                     BL,71ST                         ST,"(33.9564, -118.309)",33.9564,-118.309,POINT (-118.309 33.9564)
14317,2020-11-17,1135,3,Southwest,3003 4025 3036 3025 3101,32.0,Male,White,27TH                         ST,MANHATTAN                    PL,"(34.0309, -118.3101)",34.0309,-118.3101,POINT (-118.3101 34.0309)
14318,2020-11-17,1100,10,West Valley,1822 3004 3025 3102 4026 1000 1021 0906,79.0,Female,Other Asian,5000    CALVIN                       AV,,"(34.1606, -118.5574)",34.1606,-118.5574,POINT (-118.5574 34.1606)
14319,2020-11-17,1440,11,Northeast,3701 0605 3101 3401 3004 3034 3036,35.0,Male,Black,RIVERSIDE,LOS FELIZ,"(34.1374, -118.2941)",34.1374,-118.2941,POINT (-118.2941 34.1374)
14320,2020-11-17,1340,8,West LA,3004 3026 3035 3037 3101 3401 3701 4027,74.0,Male,White,PACIFIC COAST                HY,TEMESCAL CANYON              RD,"(34.0358, -118.5357)",34.0358,-118.5357,POINT (-118.5357 34.0358)
14321,2020-11-17,1435,14,Pacific,3003 3024 3035 3037 3101 3401 3701 4027,36.0,Male,Other,VENICE                       BL,MCLAUGHLIN                   AV,"(34.0086, -118.4246)",34.0086,-118.4246,POINT (-118.4246 34.0086)
14322,2020-11-17,1505,16,Foothill,3004 3037 3030 3028 3101 4026,22.0,Male,"Hispanic, Latin, Mexican",FAIR                         AV,ELKWOOD                      ST,"(34.2128, -118.3747)",34.2128,-118.3747,POINT (-118.3747 34.2128)
