DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
190504011,01/01/2019,12/31/2018,0850,05,Harbor,0563,997,TRAFFIC COLLISION,4025 3036 3008 3025 3101,29,M,H,101,STREET,GAFFEY                       ST,16TH                         ST,"(33.7297, -118.2924)"
190504015,12/31/2018,12/31/2018,1730,05,Harbor,0529,997,TRAFFIC COLLISION,0605 4005 3036 3004 3026 3025 3101,25,M,O,101,STREET,ANAHEIM                      ST,SAMPSON                      AV,"(33.7817, -118.2334)"
190604111,01/03/2019,12/31/2018,1600,06,Hollywood,0625,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4027,34,M,,101,STREET,HIGHLAND                     AV,FRANKLIN                     AV,"(34.1042, -118.3383)"
190404029,01/01/2019,12/31/2018,2330,04,Hollenbeck,0462,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,25,M,H,101,STREET,BOYLE                        AV,4TH                          ST,"(34.0415, -118.2196)"
190404001,01/01/2019,12/31/2018,1840,04,Hollenbeck,0443,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3029,21,F,V,101,STREET,MARENGO                      ST,BRITTANIA                    ST,"(34.0571, -118.2084)"
190304664,12/31/2018,12/31/2018,1715,03,Southwest,0397,997,TRAFFIC COLLISION,3028 3030 3102 3037 3012,,X,X,108,PARKING LOT,MARTIN LUTHER KING JR        BL,NORMANDIE                    AV,"(34.0109, -118.3002)"
190304291,12/31/2018,12/31/2018,1650,03,Southwest,0328,997,TRAFFIC COLLISION,4003 3036 3004 3026 3030 3101,41,F,W,101,STREET,SANTA MONICA                 FY,VERMONT,"(34.0268, -118.2808)"
190304026,12/31/2018,12/31/2018,1445,03,Southwest,0379,997,TRAFFIC COLLISION,,27,M,H,101,STREET,S  BUDLONG,MARTIN LUTHER KING,"(34.0109, -118.2959)"
190204063,12/31/2018,12/31/2018,0600,02,Rampart,0221,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 0605,,X,X,101,STREET,400 N  NORMANDIE                    AV,,"(34.0777, -118.3004)"
190204055,12/31/2018,12/31/2018,2310,02,Rampart,0256,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030,37,M,H,101,STREET,6TH                          ST,BURLINGTON                   AV,"(34.0579, -118.2711)"
190104022,12/31/2018,12/31/2018,2308,01,Central,0152,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3036,32,M,O,101,STREET,HOPE,WILSHIRE,"(34.048, -118.2577)"
190104155,01/03/2019,12/31/2018,1330,01,Central,0119,997,TRAFFIC COLLISION,3101 3401 3701 3006 3034 3032,56,M,B,108,PARKING LOT,500    RAMIREZ                      ST,,"(34.0552, -118.2322)"
182121287,12/31/2018,12/31/2018,1415,21,Topanga,2107,997,TRAFFIC COLLISION,3004 3026 3101 3401 3701 4021 3036,30,M,O,101,STREET,ROSCOE                       BL,DEERING                      AV,"(34.2198, -118.5951)"
182022823,12/31/2018,12/31/2018,1150,20,Olympic,2081,997,TRAFFIC COLLISION,3006 3028 3035 3037 3101 3401 3701 4027,38,M,H,101,STREET,VENICE                       BL,VAN NESS                     AV,"(34.0436, -118.3157)"
182022826,12/31/2018,12/31/2018,1030,20,Olympic,2033,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4020,46,M,H,101,STREET,OXFORD                       AV,WILSHIRE                     BL,"(34.0617, -118.3078)"
182022810,12/31/2018,12/31/2018,0200,20,Olympic,2027,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4020,57,M,K,101,STREET,S  ALEXANDRIA                   AV,WILSHIRE,"(34.0618, -118.2979)"
182101210,01/01/2019,12/31/2018,1715,21,Topanga,2145,997,TRAFFIC COLLISION,3009 3028 3030 3037 3101 3401 3701 4021,23,M,O,101,STREET,VANOWEN                      ST,TOPANGA CANYON               BL,"(34.1938, -118.6059)"
182022824,12/31/2018,12/31/2018,1245,20,Olympic,2038,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,48,M,W,101,STREET,VERMONT                      AV,WILSHIRE                     BL,"(34.0618, -118.2916)"
182022825,12/31/2018,12/31/2018,0849,20,Olympic,2033,997,TRAFFIC COLLISION,3011 3028 3030 3035 3037 3101 3401 3701 4027,39,F,H,104,DRIVEWAY,HOBART                       BL,WILSHIRE                     BL,"(34.0617, -118.3053)"
181922663,12/31/2018,12/31/2018,1445,19,Mission,1971,997,TRAFFIC COLLISION,3004 3037 3028 3030 3101 3401 3701 4026,31,F,H,101,STREET,RAYEN                        ST,SEPULVEDA                    BL,"(34.2319, -118.4676)"
181922666,12/31/2018,12/31/2018,1150,19,Mission,1924,997,TRAFFIC COLLISION,3011 3028 3034 3037 3103 3401 3701 4026 3002,,M,W,101,STREET,POLK                         ST,TELFAIR                      AV,"(34.2963, -118.4624)"
181922631,12/31/2018,12/31/2018,0015,19,Mission,1998,997,TRAFFIC COLLISION,4019 3040 3004 3028 3030 3034 3036 3101 3401 3701,21,F,O,101,STREET,WOODMAN                      AV,SATICOY                      ST,"(34.2095, -118.4311)"
181922661,12/31/2018,12/31/2018,1045,19,Mission,1985,997,TRAFFIC COLLISION,3011 3037 3028 3102 3401 3701 4026,40,M,H,101,STREET,VAN NUYS,CHASE,"(34.2248, -118.4488)"
181824993,12/31/2018,12/31/2018,1000,18,Southeast,1842,997,TRAFFIC COLLISION,3026 4025 3036 3004 3101,60,M,B,101,STREET,BROADWAY,110TH                        ST,"(33.9348, -118.2781)"
181720949,12/31/2018,12/31/2018,1800,17,Devonshire,1725,997,TRAFFIC COLLISION,3004 3037 3029 3026 3101 3401 3701 4026,39,F,H,101,STREET,CORBIN                       AV,DEVONSHIRE                   ST,"(34.2573, -118.5635)"
181720950,12/31/2018,12/31/2018,1740,17,Devonshire,1788,997,TRAFFIC COLLISION,3004 3036 3025 3101 3401 3701 4026,45,M,H,101,STREET,BALBOA                       BL,PARTHENIA                    ST,"(34.2285, -118.5026)"
181618183,12/31/2018,12/31/2018,0800,16,Foothill,1618,997,TRAFFIC COLLISION,3006 3037 3039 3028 3101 3401 3701 4026,45,M,W,101,STREET,ELLENBOGEN                   ST,LANGMUIR                     AV,"(34.2714, -118.3087)"
181618200,12/31/2018,12/31/2018,1800,16,Foothill,1695,997,TRAFFIC COLLISION,3004 3036 3025 3101 3401 3701 4026,27,F,H,101,STREET,VINELAND                     AV,KESWICK                      ST,"(34.2103, -118.3703)"
181618199,12/31/2018,12/31/2018,1720,16,Foothill,1621,997,TRAFFIC COLLISION,3003 3029 3025 3101 3401 3701 4026 3036,72,M,H,101,STREET,REMICK                       AV,VAN NUYS                     BL,"(34.2584, -118.4346)"
181618196,12/31/2018,12/31/2018,0430,16,Foothill,1606,997,TRAFFIC COLLISION,3028 3030 3037 3101 3401 3701 4026 3006,48,F,H,101,STREET,GARRICK                      AV,SUNBURST                     ST,"(34.2788, -118.3773)"
